nct_id,sponsor,start_date,completion_date,study_type,baseline_population,brief_title,official_title,overall_status,phase,enrollment,number_of_arms,interventions
NCT00160407,Hoffmann-La Roche,31-OCT-03,31-DEC-06,Interventional,,Orlistat (Xenical) in the Treatment of Overweight Patients With Nonalcoholic Steatohepatitis (NASH),Orlistat (Xenical) in the Treatment of Overweight Patients With Nonalcoholic Steatohepatitis (NASH),Completed,Phase 4,50,,Orlistat (Xenical)|1400 kcal diet (30% fat)
NCT00227110,"Takeda Pharmaceuticals North America, Inc.",31-OCT-02,31-JAN-06,Interventional,,Role of Pioglitazone in the Treatment of Non-alcoholic Steatohepatitis (NASH),Role of Pioglitazone in the Treatment of Non-alcoholic Steatohepatitis (NASH),Completed,Phase 4,55,2,Pioglitazone|Placebo
NCT00303537,Merck Sharp & Dohme LLC,30-NOV-04,30-JUN-08,Interventional,,Metformin in Non-Alcoholic Fatty Liver Disease,"Double Blind, Randomized, Placebo Controlled Trial With Metformin in Non-Alcoholic Fatty Liver Disease (NAFLD)",Unknown status,Phase 2/Phase 3,90,,metformin
NCT00577148,Sanofi,29-FEB-08,28-FEB-09,Interventional,,An Efficacy and Safety Study of Rimonabant for Treatment of Nonalcoholic Steatohepatitis (NASH) in Patients With Type 2 Diabetes,"A Double-blind, Randomized, Placebo-controlled, Parallel Group Study of Rimonabant 20 mg Daily for the Treatment of Type 2 Diabetic Patients With Nonalcoholic Steatohepatitis (NASH).",Terminated,Phase 3,89,2,Rimonabant|Placebo (for Rimonabant)
NCT00668070,Astellas Pharma Inc,30-APR-08,31-OCT-10,Interventional,,A Proof-of-principle Study of Oral Treatment of Non-alcoholic Steatohepatitis With a Novel PDE4 Inhibitor ASP9831,"Protocol for a Phase II, Randomized, Double-blind, Parallel-group, Placebo-controlled, 12-week Treatment, Adaptive Proof-of-principle Study of Twice Daily Oral Dosing of a Novel PDE4 Inhibitor (ASP9831) in Subjects With Non-alcoholic Steatohepatitis (NASH)",Completed,Phase 2,114,3,ASP9831|Placebo
NCT00470171,Axcan Pharma,31-OCT-05,30-NOV-08,Interventional,,Pilot Study of Ursodesoxycholic Acid in Non-Alcoholic Steatohepatitis,Efficacy and Safety of Ursodesoxycholic Acid in the Management of Non-Alcoholic Steatohepatitis,Completed,Phase 2,98,,Ursodesoxycholic acid
NCT00509418,Catalysis SL,28-FEB-07,30-SEP-07,Interventional,,Efficacy and Safety of Viusid in Patients With Nonalcoholic Steatohepatitis,"Efficacy and Safety of Viusid, a Nutritional Supplement, in Patients With Nonalcoholic Steatohepatitis. A Randomized, Controlled and Open Label Study",Completed,Phase 3,60,2,Viusid|Hypocaloric Diet with controlled exercise
NCT00586885,"Ajinomoto USA, INC.",29-FEB-04,30-JUN-06,Interventional,,Effects of Alanine in Patients With Nonalcoholic Steatohepatitis,A Pilot Study: Therapeutic Effect of L-Alanine in Patients With Nonalcoholic Steatohepatitis,Completed,Not Applicable,9,1,L-alanine
NCT00586911,Orphan Medical,31-JAN-03,30-JUN-06,Interventional,,Betaine in Patients With Nonalcoholic Steatohepatitis,"A Randomized, Placebo-Controlled Trial of Betaine in Patients With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,26,2,Cystadane|Identical Placebo
NCT00666016,Hoffmann-La Roche,30-APR-08,30-APR-09,Interventional,,Exploratory Study to Assess the Short Term Effect on Liver Enzymes and the Safety of TRO19622 in Patients With Non-Alcoholic Steatohepatitis (NASH),"Double-Blind vs Placebo, Randomized, Exploratory Study to Assess the Short Term Effect on Liver Enzymes and the Safety of TRO19622 500 mg QD for One Month in Patients With Non-Alcoholic Steatohepatitis (NASH)",Completed,Phase 2,35,1,TRO19622
